audio_filename,open,CPP,H1H2,H1H2_output,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,Q1,QValue,Shimmer,SpectralSlope
#F3-5-B.wav,5.0,0.074804,14.419309,16.984031677246094,21.69151,0.040713,0.009855,0.994138,1.794964075088501,3.0,0.042297,-0.000133
#F4-1.wav,1.0,0.356071,11.184879,11.070181846618652,24.483711,0.012857,0.00288,0.923239,2.7190284729003906,8.5,0.029275,-0.000122
#F4-3-B.wav,3.0,0.2468635,4.603137,2.7246530055999756,28.740814,0.27688903,0.002038,0.7328095,4.063536643981934,8.5,0.019518,-0.000102
#F4-5-B.wav,5.0,0.0754795,6.219592,7.457784175872803,11.948082,0.16962701,0.011836,0.80832446,3.0527570247650146,6.0,0.0276995,-0.000134
#G3-1.wav,1.0,0.243498,-8.281764,-11.250078201293945,19.061272,0.006584,0.004748,0.261149,7.455310821533203,9.666667,0.020785,-0.00016
#G3-3-B.wav,3.0,0.2469905,-1.9932275,-1.3545764684677124,21.572544,0.065372005,0.004693,0.278071,4.447514057159424,9.666667,0.021558,-0.000156
#G3-5-B.wav,5.0,0.0709115,14.303691,14.832498550415039,15.891742,0.0335685,0.013373,0.9887485,1.0598089694976807,4.5,0.033717,-0.000118
#G4-1.wav,1.0,0.16943699,14.158758,12.68944263458252,26.77405,0.0296055,0.00255,0.961546,2.2824440002441406,9.5,0.02149,-0.0001225
#G4-3-B.wav,3.0,0.151253,7.162873,6.776273727416992,31.62641,0.249225,0.001859,0.838717,2.4326651096343994,9.5,0.019202,-0.00011
#G4-5-B.wav,5.0,0.0691765,1.3815844,1.2008929252624512,18.564423,0.266455,0.008344,0.5661695,4.788284778594971,9.5,0.032417,-0.000133
A3-1.wav,1.0,0.248047,-4.4603724,-6.767171382904053,21.896053,0.0061520003,0.004436,0.86193347,12.169992446899414,10.0,0.024323,-0.000139
A3-3-B.wav,3.0,0.234434,-2.370023,-1.1622135639190674,25.559368,0.111317,0.004076,0.811943,6.698517799377441,10.333333,0.020498,-0.000119
A3-5-B.wav,3.0,0.071936,7.412623,8.503702163696289,18.328661,0.065138,0.007375,0.9944945,3.7992630004882812,3.666667,0.0186055,-0.000104
A4-1.wav,1.0,0.174998,8.422688,4.789268493652344,24.560223,0.035011,0.002304,0.871929,3.046234607696533,7.333333,0.019896,-0.000117
A4-3-B.wav,3.0,0.1658465,3.6165318,10.579183578491211,30.601185,0.174585,0.001882,0.680134,2.9490320682525635,10.5,0.014661,-0.000114
A4-5-B.wav,5.0,0.073029995,-0.862866,-0.9088355302810669,20.642063,0.285914,0.005762,0.466522,7.68596076965332,13.666667,0.0317135,-0.000122
B3-1.wav,1.0,0.2926395,-5.194897,-5.246301651000977,22.851107,0.0106315,0.003387,0.6462875,11.038272857666016,11.0,0.0162545,-0.000141
B3-3-B.wav,3.0,0.20002851,4.0571375,6.200435161590576,26.520712,0.168555,0.002903,0.8393715,2.798737049102783,4.0,0.012805,-0.000119
B3-5-B.wav,5.0,0.0926355,15.267897,15.081052780151367,22.119581,0.091731,0.005877,0.982524,4.22636079788208,4.0,0.019815,-0.000122
B4-1.wav,1.0,0.1722285,3.666882,-0.11489750444889069,25.750032,0.021943,0.002128,0.48062998,3.317262649536133,11.5,0.026821,-0.000119
B4-3-B.wav,3.0,0.21249449,1.6056726,16.88296890258789,33.784454,0.393109,0.001109,0.476283,4.973074913024902,11.5,0.023793,-0.000113
B4-5-B.wav,5.0,0.084914,-0.539064,-2.7404348850250244,19.129532,0.32847548,0.008612,0.4127065,11.609009742736816,15.333333,0.028115999,-0.00012
C4-1.wav,1.0,0.259026,-3.0704317,-1.1172115802764893,22.859219,0.0086095,0.004485,0.4317395,13.26413345336914,8.333333,0.01652,-0.00013
C4-3-B.wav,3.0,0.1818645,4.036901,3.7243599891662598,25.90435,0.111699,0.003553,0.70204496,2.942312002182007,4.333333,0.0217725,-0.000109
C4-5-B.wav,5.0,0.109299,10.911918,10.16659164428711,21.292387,0.165004,0.005941,0.898756,1.399351954460144,6.5,0.0137680005,-0.000109
C5-1.wav,1.0,0.2099985,9.020048,1.6823999881744385,26.778574,0.0722585,0.001766,0.0054065,2.336261034011841,12.0,0.036617,-0.000107
C5-3-B.wav,3.0,0.227822,0.707584,1.6286530494689941,31.2192,0.335999,0.001673,0.0245765,6.179186820983887,12.5,0.017253,-9.95e-05
C5-5-B.wav,5.0,0.087144,9.796898,19.499265670776367,23.84588,0.341102,0.005937,0.000861,14.937372207641602,8.666667,0.025283,-9.6e-05
D4-1.wav,1.0,0.2902705,3.1069021,5.026252746582031,21.6968,0.0021485002,0.003578,0.6321415,4.1973066329956055,7.0,0.026412,-0.000129
D4-3-B.wav,3.0,0.2413455,5.4495792,3.5713675022125244,27.018515,0.1984055,0.0026,0.59388006,4.327385902404785,7.0,0.015684,-0.000116
D4-5-B.wav,3.0,0.106258005,20.825512,20.074644088745117,25.060736,0.124945,0.004912,0.9878335,4.022914886474609,7.0,0.02037,-0.000121
E4-1.wav,1.0,0.30633,7.411163,6.786865234375,23.153938,0.006791,0.003487,0.806446,10.340599060058594,7.5,0.028728,-0.000132
E4-3-B.wav,3.0,0.3046555,0.2668015,5.509052276611328,25.852846,0.060212,0.004314,0.4016,4.635951042175293,8.0,0.019276,-0.000113
E4-5-B.wav,5.0,0.09304,11.038467,10.792257308959961,18.869104,0.1550495,0.007789,0.88589954,2.5610320568084717,5.333333,0.032025,-0.000109
F3-1.wav,1.0,0.221991,-4.920144,-6.24696683883667,19.935429,0.00443,0.004428,0.217151,5.752226829528809,10.333333,0.015422,-0.000157
F3-3-B.wav,3.0,0.171169,0.794714,0.33411097526550293,21.115128,0.048694,0.005303,0.648507,7.168729782104492,8.333333,0.015443999,-0.00014
F4-1.wav,1.0,0.339625,11.920866,10.704107284545898,22.94815,0.006894,0.003028,0.934131,2.8748910427093506,8.0,0.027673502,-0.000133
F4-3-B.wav,3.0,0.225666,8.872829,16.23495101928711,26.592405,0.328525,0.002646,0.876653,4.6526689529418945,8.0,0.018832501,-0.000109
F4-5-B.wav,5.0,0.116431,17.976175,20.456363677978516,23.915888,0.091988,0.005264,0.981322,3.0315980911254883,6.0,0.042514,-0.000114
G3-1.wav,1.0,0.236562,-5.129774,-7.344703674316406,19.180733,0.010101,0.00544,0.353827,7.291306018829346,9.0,0.015431,-0.000158
G3-3-B.wav,3.0,0.1108075,2.424186,-0.04836200177669525,26.304789,0.05783,0.00372,0.981332,5.1918792724609375,3.333333,0.016135499,-0.000124
G3-5-B.wav,5.0,0.0601125,6.102944,5.109615802764893,7.055486,0.1539485,0.01583,0.9417875,2.004056930541992,3.333333,0.027629,-0.000121
G4-1.wav,1.0,0.307238,11.655916,13.953189849853516,26.1554,0.028454,0.002645,0.9325,1.7372020483016968,6.666667,0.022057,-0.000121
G4-3-B.wav,3.0,0.241375,2.92356,2.7074570655822754,29.878712,0.273172,0.002101,0.664484,3.4399731159210205,9.0,0.0139224995,-0.000105
G4-5-B.wav,5.0,0.092089,2.771749,2.9572043418884277,18.576488,0.321454,0.005428,0.650732,3.14849591255188,9.0,0.017967,-0.000109
